id,product_variant_id,selling_price,rrp_price
18752043,1977385,850000,850000
18752022,1977380,12550000,12550000
18752046,1977380,12500000,12500000
18751982,1977374,310000,310000
18752018,1977374,300000,300000
18751959,1977367,15500000,15500000
18752064,1977367,12500000,12500000
18751958,1977366,750000,750000
18751880,1977358,15800000,15800000
18751863,1977354,3500000,3500000
18751736,1977341,1940000,1940000
18751716,1977336,1940000,1940000
18751700,1977334,317000,317000
18751633,1977325,850000,850000
18751578,1977319,210000,210000
18751563,1977316,15950000,15950000
18751527,1977306,77000,77000
18751497,1977298,6200000,6200000
18751461,1977293,65000,65000
18751451,1977292,26990000,26990000
18751438,1977291,65000,65000
18751398,1977286,65000,65000
18751347,1977280,5350000,5350000
18751408,1977280,5300000,5300000
18751311,1977276,420000,430000
18751211,1977269,55000,55000
18751102,1977257,84000,84000
18750958,1977238,240000,240000
18750930,1977234,2990000,2990000
18750889,1977224,17700000,17700000
18750733,1977205,300000,300000
18750705,1977199,19950000,19950000
18750671,1977198,55000,55000
18750658,1977197,210000,220000
18750615,1977195,55000,55000
18750585,1977193,55000,55000
18750566,1977191,292000,292000
18750605,1977191,278000,278000
18750556,1977190,514000,514000
18750568,1977190,515000,515000
18750511,1977187,210000,220000
18750476,1977181,280000,280000
18750471,1977179,18450000,18450000
18750416,1977172,338000,338000
18750385,1977170,210000,220000
18750371,1977167,180000,180000
18750360,1977165,16990000,16990000
18750342,1977163,220000,220000
18750339,1977162,378000,378000
18750306,1977159,770000,770000
18750234,1977153,180000,180000
18750232,1977152,155000,155000
18750189,1977141,360000,360000
18750136,1977133,580000,580000
18750112,1977131,180000,180000
18750071,1977127,285000,285000
18750059,1977124,560000,560000
18750038,1977122,120000,120000
18750032,1977121,12250000,12250000
18750027,1977120,700000,700000
18750010,1977117,64000000,64000000
18749952,1977110,690000,690000
18749860,1977102,990000,990000
18749825,1977095,580000,580000
18749801,1977090,1830000,1830000
18749773,1977085,980000,980000
18749757,1977081,2750000,2750000
18749677,1977068,1180000,1180000
18749554,1977053,84000,84000
18749519,1977050,400000,400000
18749507,1977048,84000,84000
18749468,1977042,400000,400000
18749438,1977037,8990000,8990000
18749429,1977034,84000,84000
18749367,1977023,640000,640000
18749299,1977014,4900000,4900000
18749267,1977009,80000,80000
18749288,1977009,80000,80000
18749200,1976997,1161000,1161000
18749136,1976992,80000,80000
18749091,1976989,80000,80000
18749063,1976987,80000,80000
18749027,1976982,319000,319000
18749007,1976977,319000,319000
18748992,1976975,60000,60000
18748963,1976967,60000,60000
18748936,1976962,60000,60000
18748912,1976959,850000,850000
18748842,1976947,60000,60000
18748837,1976946,590000,590000
18748820,1976943,60000,60000
18748799,1976940,126000,126000
18748793,1976938,60000,60000
18748787,1976935,580000,580000
18748702,1976928,109000,109000
18748684,1976925,790000,790000
18748674,1976922,170000,170000
18748666,1976919,1000000,1000000
18748644,1976915,170000,170000
18748607,1976904,230000,230000
18748584,1976897,64000000,64000000
18749037,1976897,83900000,83900000
18749452,1976897,83800000,83800000
18748560,1976891,170000,170000
18748537,1976884,1270000,1270000
18748441,1976870,66000,66000
18751305,1976870,63000,63000
18748429,1976866,1090000,1090000
18748389,1976860,149000,149000
18748349,1976853,1100000,1100000
18748255,1976831,180000,180000
18748214,1976825,770000,770000
18748202,1976820,1230000,1230000
18748197,1976816,450000,450000
18748143,1976801,710000,710000
18748131,1976796,505000,505000
18748093,1976789,1040000,1040000
18748089,1976788,350000,350000
18748069,1976784,720000,720000
18747985,1976774,330000,330000
18747871,1976754,4090000,4090000
18747863,1976750,700000,700000
18747858,1976747,700000,700000
18747853,1976746,13700000,13700000
18747795,1976739,700000,700000
18747788,1976736,13700000,13700000
